,station_id,name,old_name,type,oos,lat,lon
34,,,Malpais Flattop Mesa (NPS) Battery Voltage (unknown type),,,,
35,,,Householder Pass (NPS) Battery Voltage (unknown type),,,,
36,,,Willow Beach 8 (NPS) Battery Voltage (unknown type),,,,
37,,,Black Mtn North (NPS) Battery Voltage (unknown type),,,,
38,,,Black Mtn South (NPS) Battery Voltage (unknown type),,,,
39,,,Bill Gays Butte (NPS) Battery Voltage (unknown type),,,,
40,,,Cottonwood Cove West Battery Voltage (unknown type),,,,
41,,,Eldorado (NPS) Battery (unknown type),,,,
42,,,Mt. Wilson Repeater BATT (Mohave County) (unknown type),,,,
43,,,Mt. Perkins Repeater BATT (Mohave County) (unknown type),,,,
44,,,Willow Beach Fire Station Siren (NPS) Remote Control Base (unknown type),,,,
45,,,Willow Beach Fire Station Siren (NPS) Stop Trigger (unknown type),,,,
46,,,Willow Beach Fire Station Siren (NPS) Test Trigger (unknown type),,,,
47,,,Willow Beach Fire Station Siren (NPS) Start Trigger (unknown type),,,,
48,,,Willow Beach Fire Station Siren (NPS) Battery Voltage Siren (unknown type),,,,
49,,,Willow Beach Fire Station Siren (NPS) 50386 Battery Voltage (unknown type),,,,
50,,,Last Chance Wash (NPS) RAIN (Rain),,,,
51,,,Last Chance Wash (NPS) BATT (unknown type),,,,
52,,,Last Chance Wash (NPS) Remote Control (unknown type),,,,
53,,,Last Chance Hwy 93 (NPS) RAIN (Rain),,,,
54,,,Last Chance Hwy 93 (NPS) WL (Water Level),,,,
55,,,Last Chance Hwy 93 (NPS) WL (unknown type),,,,
56,,,Last Chance Hwy 93 (NPS) BATT (unknown type),,,,
57,,,Last Chance Access Road (NPS) RAIN (Rain),,,,
58,,,Last Chance Access Road (NPS) WL (Water Level),,,,
59,,,Last Chance Access Road (NPS) (unknown type),,,,
60,,,Last Chance Access Road (NPS) BATT (unknown type),,,,
61,,,Last Chance Access Road (NPS) (unknown type),,,,
62,,,Willow Beach 330 (NPS) RAIN (Rain),,,,
63,,,Willow Beach 330 (NPS) BATT (unknown type),,,,
64,,,Willow Beach 330 (NPS) (unknown type),,,,
65,,,Willow Beach Wash (NPS) RAIN (Rain),,,,
66,,,Willow Beach Wash (NPS) BATT (unknown type),,,,
67,,,Willow Beach Wash (NPS) (unknown type),,,,
68,,,Willow Beach Hwy 93 (NPS) RAIN (Rain),,,,
69,,,Willow Beach Hwy 93 (NPS) WL (Water Level),,,,
70,,,Willow Beach Hwy 93 (NPS) (unknown type),,,,
71,,,Willow Beach Hwy 93 (NPS) BATT (unknown type),,,,
72,,,Willow Beach Hwy 93 (NPS) (unknown type),,,,
73,,,Willow Beach Maintenance Siren (NPS) (unknown type),,,,
74,,,Willow Beach Maintenance Siren (NPS) (unknown type),,,,
75,,,Willow Beach Maintenance Siren (NPS) (unknown type),,,,
76,,,Willow Beach Maintenance Siren (NPS) (unknown type),,,,
77,,,Willow Beach Maintenance Siren (NPS) BATT (unknown type),,,,
78,,,Willow Beach Maintenance Siren (NPS) BATT (unknown type),,,,
79,,,Last Chance Flasher (NPS) (unknown type),,,,
80,,,Last Chance Flasher (NPS) (unknown type),,,,
81,,,Last Chance Flasher (NPS) FLASHER BATT (unknown type),,,,
82,,,Last Chance Flasher (NPS) BATT (unknown type),,,,
83,,,Willow Beach Flasher (NPS) (unknown type),,,,
84,,,Willow Beach Flasher (NPS) (unknown type),,,,
85,,,Willow Beach Flasher (NPS) Flasher BATT (unknown type),,,,
86,,,Willow Beach Flasher (NPS) BATT (unknown type),,,,
87,,,Willow Beach Marina Flasher (NPS) (unknown type),,,,
88,,,Willow Beach Marina Flasher (NPS) (unknown type),,,,
89,,,Willow Beach Marina (NPS) Flasher BATT (unknown type),,,,
90,,,Willow Beach Marina Flasher (NPS) (unknown type),,,,
91,,,Cottonwood Cove East (NPS) RAIN (Rain),,,,
92,,,Cottonwood Cove East (NPS) (unknown type),,,,
93,,,Cottonwood Cove East (NPS) BATT (unknown type),,,,
94,,,Cottonwood Cove Central (NPS) RAIN (Rain),,,,
95,,,Cottonwood Cove Central (NPS) (unknown type),,,,
96,,,Cottonwood Cove Central (NPS) BATT (unknown type),,,,
97,,,NPS Staff Housing Wash (NPS) RAIN (Rain),,,,
98,,,NPS Staff Housing Wash (NPS) (unknown type),,,,
99,,,NPS Staff Housing Wash (NPS) (unknown type),,,,
100,,,NPS Staff Housing Wash (NPS) (unknown type),,,,
101,,,NPS Staff Housing Wash (NPS) BATT (unknown type),,,,
102,,,NPS Staff Housing Wash (NPS) (unknown type),,,,
103,,,Access Road Wash (NPS) RAIN (Rain),,,,
104,,,Access Road Wash (NPS) (unknown type),,,,
105,,,Access Road Wash (NPS) (unknown type),,,,
106,,,Access Road Wash (NPS) (unknown type),,,,
107,,,Access Road Wash (NPS) BATT (unknown type),,,,
108,,,Access Road Wash (NPS) (unknown type),,,,
109,,,Cottonwood Cove Developed Area Central Siren (NPS) (unknown type),,,,
110,,,Cottonwood Cove Developed Area Central Siren (NPS) (unknown type),,,,
111,,,Cottonwood Cove Developed Area Central Siren (NPS) (unknown type),,,,
112,,,Cottonwood Cove Developed Area Central Siren (NPS) (unknown type),,,,
113,,,Cottonwood Cove Developed Area Central Siren (NPS) (unknown type),,,,
114,,,Cottonwood Cove Developed Area Central Siren (NPS) (unknown type),,,,
115,,,Cottonwood Cove Maintenance Yard Siren (NPS) (unknown type),,,,
116,,,Cottonwood Cove Maintenance Yard Siren (NPS) (unknown type),,,,
117,,,Cottonwood Cove Maintenance Yard Siren (NPS) (unknown type),,,,
118,,,Cottonwood Cove North Campground Siren (NPS) (unknown type),,,,
119,,,Cottonwood Cove North Campground Siren (NPS) (unknown type),,,,
120,,,Cottonwood Cove North Campground Siren (NPS) (unknown type),,,,
121,,,Willow Beach Housing Flasher (NPS) (unknown type),,,,
122,,,Willow Beach Housing Flasher (NPS) (unknown type),,,,
123,,,Willow Beach Housing Flasher (NPS) (unknown type),,,,
124,,,Willow Beach Housing Flasher (NPS) (unknown type),,,,
125,,,Willow Beach Hwy. 93 Access Road (NPS) RAIN (Rain),,,,
126,,,Willow Beach Hwy. 93 Access Road (NPS) (unknown type),,,,
127,,,Willow Beach Hwy. 93 Access Road (NPS) (unknown type),,,,
128,,,Willow Beach Hwy. 93 Access Road (NPS) (unknown type),,,,
129,,,Willow Beach Hwy. 93 Access Road (NPS) (unknown type),,,,
130,,,Willow Beach Jumbo Wash (NPS) RAIN (Rain),,,,
131,,,Willow Beach Jumbo Wash (NPS) BATT (unknown type),,,,
132,,,Willow Beach Access Road Lower Flasher (NPS) (unknown type),,,,
133,,,Willow Beach Access Road Lower Flasher (NPS) (unknown type),,,,
134,,,Willow Beach Access Road Lower Flasher (NPS) (unknown type),,,,
135,,,Willow Beach Access Road Lower Flasher (NPS) (unknown type),,,,
136,,,Willow Beach Access Road Upper Flasher (NPS) (unknown type),,,,
137,,,Willow Beach Access Road Upper Flasher (NPS) (unknown type),,,,
138,,,Willow Beach Access Road Upper Flasher (NPS) (unknown type),,,,
139,,,Willow Beach Access Road Upper Flasher (NPS) BATT (unknown type),,,,
140,,,Virgin River above the Narrows WL (USGS) (unknown type),,,,
141,,,Virgin River above the Narrows Discharge (USGS) (unknown type),,,,
142,,,NPS Base Station (NPS) (unknown type),,,,
143,,,Cherum Peak (Mohave County) RAIN (Rain),,,,
144,,,Golden Valley RAIN (Mohave County) (Rain),,,,
145,,,North Golden Valley RAIN (Mohave County) (Rain),,,,
146,,,Mud Spring (Mohave County) (Rain),,,,
147,,,Upper Lime Mountain (Mohave County) RAIN (Rain),,,,
148,,,Pahcoon Flat (Mohave County) RAIN (Rain),,,,
149,,,Bull Valley Mtns RAIN (Mohave County) (Rain),,,,
150,,,Catclaw Canyon WL (Mohave County) (Water Level),,,,
151,,,Sunrise Vistas (Mohave County) RAIN (Rain),,,,
152,,,Upper Sacramento Wash (Mohave County) RAIN (Rain),,,,
153,,,Hardy Mountain (Mohave County) RAIN (Rain),,,,
154,,,Punto de Vista (Mohave County) RAIN (Rain),,,,
155,,,Punto de Vista (Mohave County) WL (Water Level),,,,
156,,,Willow Springs Rain (Mohave County) RAIN (Rain),,,,
157,,,White Hills Precipitation (Mohave County) RAIN (Rain),,,,
158,,,Cerbat Landfill (Mohave County) WD (Wind Direction),,,,
159,,,Cerbat Landfill (Mohave County) WS (Wind Speed),,,,
160,,,Cerbat Landfill (Mohave County) RAIN (Rain),,,,
161,,,Tufa (Mohave County) RAIN (Rain),,,,
162,,,Mesquite Creek (Mohave County) RAIN (Rain),,,,
163,,,Hualapai Mtn (Mohave County) WD (Wind Direction),,,,
164,,,Hualapai Mtn (Mohave County) SPD (Wind Speed),,,,
165,,,Hualapai Mtn (Mohave County) RAIN (Rain),,,,
166,,,Hualapai Mtn (Mohave County) RH (Rel. Humidity),,,,
167,,,Hualapai Mtn (Mohave County) TEMP (Air Temp),,,,
168,,,Hualapai Mtn (Mohave County) DPT (Dewpoint),,,,
169,,,Cerbat Landfill RH (Rel. Humidity),,,,
170,,,Cerbat Landfill DPT (Dewpoint),,,,
171,,,Cerbat Landfill TEMP (Air Temp),,,,
172,,,Boundary Cone (Mohave County) RAIN (Rain),,,,
173,,,Hurricane Cliffs (Mohave County) RAIN (Rain),,,,
174,,,Silver Creek Precipitation (Mohave County) RAIN (Rain),,,,
175,,,Big Bend Wash @ I-15 (Mohave County) RAIN (Rain),,,,
176,,,Big Bend Wash (Mohave County) Water Level (Water Level),,,,
177,,,Montana Wash (Mohave County) RAIN (Rain),,,,
178,,,Montana Wash (Mohave County) (Water Level),,,,
179,,,Detrital Wash @ SR93 (Mohave County) RAIN (Rain),,,,
180,,,Detrital Wash @ SR93 (Mohave County) WL (Water Level),,,,
181,,,El Rodeo Wash (Mohave County) RAIN (Rain),,,,
182,,,Motoqua (Mohave County) RAIN (Rain),,,,
183,,,Motoqua (Mohave County) WL (Water Level),,,,
184,,,Lost Cabin Springs (Mohave County) RAIN (Rain),,,,
185,,,Quail Run (Mohave County) RAIN (Rain),,,,
186,,,Quail Run (Mohave County) WL (Water Level),,,,
187,,,Kingman (Mohave County) WD (Wind Direction),,,,
188,,,Kingman (Mohave County) SPD (Wind Speed),,,,
189,,,Kingman (Mohave County) RAIN (Rain),,,,
190,,,Kingman (Mohave County) RH (Rel. Humidity),,,,
191,,,Kingman (Mohave County) TEMP (Air Temp),,,,
192,,,Kingman (Mohave County) DPT (Dewpoint),,,,
193,,,Mohave Valley (Mohave County) Wind Direction (Wind Direction),,,,
194,,,Mohave Valley (Mohave County) Wind Speed (Wind Speed),,,,
195,,,Mohave Valley (Mohave County) RAIN (Rain),,,,
196,,,Mohave Valley (Mohave County) RH (Rel. Humidity),,,,
197,,,Mohave Valley (Mohave County) TEMP (Air Temp),,,,
198,,,Mohave Valley (Mohave County) DPT (Dewpoint),,,,
199,,,Cave Spring (Mohave County) RAIN (Rain),,,,
200,,,Mt Potosi 5052 (HL) Battery Voltage (unknown type),,,,
201,,,Angel Peak 5052 (HL) Battery Voltage (unknown type),,,,
202,,,Spirit Mountain,,,,
203,2564.0,Mesquite 1,Mesquite 1 RAIN (Rain),Handar 585A,False,36.951944,-114.036056
204,2574.0,Town Wash (Mesquite 3),Town Wash RAIN (Rain),Handar 585A,False,36.906944,-114.054333
205,,,Mesquite Airport WD (Wind Direction),,,,
206,,,Mesquite Airport SPD (Wind Speed),,,,
207,,,Mesquite Airport DPT (Dewpoint),,,,
208,2584.0,Mesquite Airport,Mesquite Airport RAIN (Rain),HydroLynx 50388/A2,False,36.837028,-114.055444
209,,,Mesquite Airport RH (Rel. Humidity),,,,
210,,,Mesquite Airport TEMP (Air Temp),,,,
211,,,Town Wash DB BATT (unknown type),,,,
212,,,Town Wash DB Radar WL (Water Level),,,,
213,,,Town Wash DB Shaft Enc WL (Water Level),,,,
214,2594.0,Town Wash DB,Town Wash DB RAIN (Rain),DAA H264,False,36.825556,-114.073333
215,,,Town Wash Channel BATT (unknown type),,,,
216,,,Town Wash Channel WL (Water Level),,,,
217,2599.0,Town Wash Channel,Town Wash Channel RAIN (Rain),DAA H264,False,36.799722,-114.073056
218,2664.0,Mesquite 2 (Toquop Wash),Mesquite 2 RAIN (Rain),HydroLynx 5096/A2,False,36.9335,-114.200528
219,,,Pulsipher Wash DB BATT (unknown type),,,,
220,,,Pulsipher Wash DB WL (Water Level),,,,
221,2674.0,Pulsipher Wash DB,Pulsipher Wash DB RAIN (Rain),DAA H264,False,36.8175,-114.114444
222,,,Abbott Wash DB WL (Water Level),,,,
223,2684.0,Abbott Wash DB,Abbott Wash DB RAIN (Rain),Handar 585A,False,36.826111,-114.093611
224,,,Abbott Wash Channel WL (Water Level),,,,
225,2694.0,Abbott Wash Channel,Abbott Wash Channel RAIN (Rain),Handar 585C,False,36.8065,-114.085611
226,,,Bunkerville DIR (Wind Direction),,,,
227,,,Bunkerville SPD (Wind Speed),,,,
228,,,Bunkerville DPT (Dewpoint),,,,
229,2754.0,Bunkerville,Bunkerville RAIN (Rain),HydroLynx 50388/A2,False,36.707972,-114.076139
230,,,Bunkerville RH (Rel. Humidity),,,,
231,,,Bunkerville TEMP (Air Temp),,,,
232,,,Windmill Wash DB BATT (unknown type),,,,
233,,,Windmill Wash DB WL (Water Level),,,,
234,2784.0,Windmill Wash DB,Windmill Wash DB RAIN (Rain),Amazon/50388 A2,False,36.766111,-114.1225
235,3034.0,Halfway Wash,Halfway Wash RAIN (Rain),Handar 585A,False,36.867056,-114.309083
236,3044.0,Mormon Mesa 1,Mormon Mesa 1 RAIN (Rain),HydroLynx 5096/A2,False,36.758417,-114.449
237,3064.0,Weiser Wash,Weiser Wash RAIN (Rain),HydroLynx 5096/A2,False,36.7495,-114.547833
238,,,California Wash 4 DIR (Wind Direction),,,,
239,,,California Wash 4 PK WND (Peak Wind),,,,
240,,,California Wash 4 SPD (Wind Speed),,,,
241,,,California Wash 4 DPT (Dewpoint),,,,
242,,,California Wash 4 BATT (unknown type),,,,
243,3114.0,California Wash 4,California Wash 4 RAIN (Rain),HydroLynx 5096/A2,False,36.491111,-114.781333
244,,,California Wash 4 RH (Rel. Humidity),,,,
245,,,California Wash 4 TEMP (Air Temp),,,,
246,,,Moapa SW 3 DIR (Wind Direction),,,,
247,,,Moapa SW 3 PK WND (Peak Wind),,,,
248,,,Moapa SW 3 SPD (Wind Speed),,,,
249,,,Moapa SW 3 DPT (Dewpoint),,,,
250,,,Moapa SW 3 BATT (unknown type),,,,
251,3124.0,Moapa SW 3,Moapa SW 3 RAIN (Rain),HydroLynx 50388/A2,False,36.555528,-114.856694
252,,,Moapa SW 3 RH (Rel. Humidity),,,,
253,,,Moapa SW 3 TEMP (Air Temp),,,,
254,,,Moapa SW 2 BATT (unknown type),,,,
255,3129.0,Moapa SW 2,Moapa SW 2 RAIN (Rain),HydroLynx 5096/A2,False,36.536528,-114.771611
256,,,Moapa SW 1 BATT (unknown type),,,,
257,3134.0,Moapa SW 1,Moapa SW 1 RAIN (Rain),HydroLynx 5096/A2,False,36.584778,-114.765389
258,,,California Wash 3 WD (Wind Direction),,,,
259,,,California Wash 3 SPD (Wind Speed),,,,
260,,,California Wash 3 DPT (Dewpoint),,,,
261,3144.0,California Wash 3,California Wash 3 RAIN (Rain),Handar 585D,False,36.479806,-114.706833
262,,,California Wash 3 RH (Rel. Humidity),,,,
263,,,California Wash 3 TEMP (Air Temp),,,,
264,3164.0,California Wash 1,California Wash 1 RAIN (Rain),Handar 585A,False,36.542639,-114.636778
265,,,California Wash 2 BATT (unknown type),,,,
266,,,California Wash 2 WL (Water Level),,,,
267,3184.0,California Wash 2,California Wash 2 RAIN (Rain),HydroLynx 5096/A2,False,36.631194,-114.631389
268,,,Hogan Springs Overlook WD (Wind Direction),,,,
269,,,Hogan Springs Overlook PK WND (Peak Wind),,,,
270,,,Hogan Springs Overlook SPD (Wind Speed),,,,
271,,,Hogan Springs Overlook DPT (Dewpoint),,,,
272,,,Hogan Springs Overlook BATT (unknown type),,,,
273,3204.0,Hogan Springs Overlook,Hogan Springs Overlook RAIN (Rain),HydroLynx 50388/A2,False,36.633889,-114.684722
274,,,Hogan Springs Overlook RH (Rel. Humidity),,,,
275,,,Hogan Springs Overlook TEMP (Air Temp),,,,
276,,,Elbow Canyon WD (Wind Direction),,,,
277,,,Elbow Canyon PK WND (Peak Wind),,,,
278,,,Elbow Canyon SPD (Wind Speed),,,,
279,,,Elbow Canyon DPT (Dewpoint),,,,
280,,,Elbow Canyon BATT (unknown type),,,,
281,3214.0,Elbow Canyon,Elbow Canyon RAIN (Rain),HydroLynx 5096/A2,False,36.746667,-114.98
282,,,Elbow Canyon RH (Rel. Humidity),,,,
283,,,Elbow Canyon TEMP (Air Temp),,,,
284,,,Segmiller Wash BATT (unknown type),,,,
285,3219.0,Segmiller Wash,Segmiller Wash RAIN (Rain),HydroLynx 5096/A2,False,36.656667,-114.675
286,,,Coyote Springs DB BATT (unknown type),,,,
287,,,Coyote Springs DB WL (Water Level),,,,
288,3229.0,Coyote Springs DB,Coyote Springs DB RAIN (Rain),DAA H264,False,36.802333,-114.953472
289,,,Wildcat Wash,,,,
290,3234.0,Wildcat Wash,Wildcat Wash,HydroLynx 5096/A2,False,36.803917,-114.85575
291,,,Dry Gulch BATT (unknown type),,,,
292,3239.0,Dry Gulch,Dry Gulch RAIN (Rain),HydroLynx 5096/A2,False,36.773889,-114.714083
293,,,Mormon Mesa 2 WD (Wind Direction),,,,
294,,,Mormon Mesa 2 SPD (Wind Speed),,,,
295,,,Mormon Mesa 2 DPT (Dewpoint),,,,
296,3244.0,Mormon Mesa 2,Mormon Mesa 2 RAIN (Rain),Handar 585D,False,36.664722,-114.418056
297,,,Mormon Mesa 2 RH (Rel. Humidity),,,,
298,,,Mormon Mesa 2 TEMP (Air Temp),,,,
299,,,Overton Beach WD (Wind Direction),,,,
300,,,Overton Beach SPD (Wind Speed),,,,
301,,,Overton Beach DPT (Dewpoint),,,,
302,3254.0,Overton Beach,Overton Beach RAIN (Rain),HydroLynx 50386/A2,False,36.439972,-114.362417
303,,,Overton Beach RH (Rel. Humidity),,,,
304,,,Overton Beach TEMP (Air Temp),,,,
305,,,Muddy River Moapa (USGS) BATT (unknown type),,,,
306,,,Muddy River Moapa (USGS) WL (Water Level),,,,
307,3264.0,Muddy River Moapa (USGS),Muddy River Moapa (USGS) RAIN (Rain),DAA H264,False,36.711122,-114.695464
308,3274.0,Logan Wash,Logan Wash RAIN (Rain),HydroLynx 5096/A2,False,36.595083,-114.532833
309,3279.0,Mormon Mesa Overton,Mormon Mesa Overton RAIN (Rain),HydroLynx 5096/A2,False,36.561694,-114.389194
310,,,Silica Dome WD (Wind Direction),,,,
311,,,Silica Dome SPD (Wind Speed),,,,
312,,,Silica Dome DPT (Dewpoint),,,,
313,3284.0,Silica Dome,Silica Dome RAIN (Rain),Handar 585D,False,36.456556,-114.502861
314,,,Silica Dome RH (Rel. Humidity),,,,
315,,,Silica Dome TEMP (Air Temp),,,,
316,,,Overton Airport SPD (Wind Speed),,,,
317,,,Overton Airport DPT (Dewpoint),,,,
318,3294.0,Overton Airport,Overton Airport RAIN (Rain),HydroLynx 50388/A2,False,36.565,-114.438056
319,,,Overton Airport RH (Rel. Humidity),,,,
320,,,Overton Airport TEMP (Air Temp),,,,
321,,,Angel Peak Repeater BATT 3300 (HS) (unknown type),,,,
322,3301.0,Boulder City Repeater (Red Mountain) - To Base,Boulder City Repeater,Hydrolynx 5052RP/A2,False,35.995444,-114.863806
323,,,Meadow Valley Wash WL (Water Level),,,,
324,3384.0,Meadow Valley Wash,Meadow Valley Wash RAIN (Rain),Handar 585C,False,36.755358,-114.62345
325,,,Indian Springs DB WL (Water Level),,,,
326,3619.0,Indian Springs DB,Indian Springs DB RAIN (Rain),Handar 585A,False,36.571139,-115.682556
327,,,Indian Springs 1 WD (Wind Direction),,,,
328,,,Indian Springs 1 PK WND (Peak Wind),,,,
329,,,Indian Springs 1 SPD (Wind Speed),,,,
330,,,Indian Springs 1 DPT (Dewpoint),,,,
331,,,Indian Springs 1 BATT (unknown type),,,,
332,3634.0,Indian Springs 1,Indian Springs 1 RAIN (Rain),HydroLynx 50386/A2,False,36.573,-115.641639
333,,,Indian Springs 1 RH (Rel. Humidity),,,,
334,,,Indian Springs 1 TEMP (Air Temp),,,,
335,,,Indian Springs 2 WD (Wind Direction),,,,
336,,,Indian Springs 2 PK WND (Peak Wind),,,,
337,,,Indian Springs 2 SPD (Wind Speed),,,,
338,,,Indian Springs 2 DPT (Dewpoint),,,,
339,,,Indian Springs 2 BATT (unknown type),,,,
340,3644.0,Indian Springs 2,Indian Springs 2 RAIN (Rain),HydroLynx 5096/A2,False,36.507667,-115.600778
341,,,Indian Springs 2 RH (Rel. Humidity),,,,
342,,,Indian Springs 2 TEMP (Air Temp),,,,
343,,,Cold Creek 1 WD (Wind Direction),,,,
344,,,Cold Creek 1 SPD (Wind Speed),,,,
345,,,Cold Creek 1 DPT (Dewpoint),,,,
346,3704.0,Cold Creek,Cold Creek 1 RAIN (Rain),Handar 585D,False,36.445611,-115.686194
347,,,Cold Creek 1 RH (Rel. Humidity),,,,
348,,,Cold Creek 1 TEMP (Air Temp),,,,
349,,,Lee Canyon 1 BATT (unknown type),,,,
350,3709.0,Lee Canyon 1,Lee Canyon 1 RAIN (Rain),HydroLynx 5096/A2,False,36.450917,-115.503778
351,,,Rainbow Canyon BATT (unknown type),,,,
352,3834.0,Rainbow Canyon,Rainbow Canyon RAIN (Rain),HydroLynx 5096/A2,False,36.249472,-115.630194
353,,,Harris Springs 2 BATT (unknown type),,,,
354,3844.0,Harris Springs 2,Harris Springs 2 RAIN (Rain),HydroLynx 5096/A2,False,36.239361,-115.558917
355,,,Harris Springs 1 WD (Wind Direction),,,,
356,,,Harris Springs 1 PK WND (Peak Wind),,,,
357,,,Harris Springs 1 SPD (Wind Speed),,,,
358,,,Harris Springs 1 DPT (Dewpoint),,,,
359,,,Harris Springs 1 BATT (unknown type),,,,
360,3854.0,Harris Springs 1,Harris Springs 1 RAIN (Rain),HydroLynx 50388/A2,False,36.228861,-115.579167
361,,,Harris Springs 1 RH (Rel. Humidity),,,,
362,,,Harris Springs 1 TEMP (Air Temp),,,,
363,,,Harris Springs 3 BATT (unknown type),,,,
364,3864.0,Harris Springs 3,Harris Springs 3 RAIN (Rain),HydroLynx 5096/A2,False,36.266806,-115.524361
365,,,Grapevine Springs 2 WD (Wind Direction),,,,
366,,,Grapevine Springs 2 PK WND (Peak Wind),,,,
367,,,Grapevine Springs 2 SPD (Wind Speed),,,,
368,,,Grapevine Springs 2 DPT (Dewpoint),,,,
369,,,Grapevine Springs 2 BATT (unknown type),,,,
370,3914.0,Grapevine Springs 2,Grapevine Springs 2 RAIN (Rain),HydroLynx 5096/A2,False,36.283,-115.480778
371,,,Grapevine Springs 2 RH (Rel. Humidity),,,,
372,,,Grapevine Springs 2 TEMP (Air Temp),,,,
373,,,Yucca Forest 1 BATT (unknown type),,,,
374,3924.0,Yucca Forest 1,Yucca Forest 1 RAIN (Rain),HydroLynx 5096/A2,False,36.572778,-115.204167
375,,,Grapevine Springs 1 BATT (unknown type),,,,
376,3929.0,Grapevine Springs 1,Grapevine Springs 1 RAIN (Rain),HydroLynx 5096/A2,False,36.339083,-115.421056
377,,,Yucca Forest 2 WD (Wind Direction),,,,
378,,,Yucca Forest 2 SPD (Wind Speed),,,,
379,,,Yucca Forest 2 DPT (Dewpoint),,,,
380,,,Yucca Forest 2 BATT (unknown type),,,,
381,3934.0,Yucca Forest 2,Yucca Forest 2 RAIN (Rain),HydroLynx 50386/A2,False,36.52,-115.163333
382,,,Yucca Forest 2 RH (Rel. Humidity),,,,
383,,,Yucca Forest 2 TEMP (Air Temp),,,,
384,,,Yucca Forest 2 PK WND (Peak Wind),,,,
385,,,Corn Creek NW BATT (unknown type),,,,
386,,,Tule Springs NW WD (Wind Direction),,,,
387,3949.0,Corn Creek NW,Corn Creek NW RAIN (Rain),HydroLynx 5096/A2,False,36.428139,-115.432472
388,,,Tule Springs NW PK WND (Peak Wind),,,,
389,,,Tule Springs NW SPD (Wind Speed),,,,
390,,,Tule Springs NW DPT (Dewpoint),,,,
391,,,Tule Springs NW BATT (unknown type),,,,
392,3954.0,Tule Springs NW,Tule Springs NW RAIN (Rain),HydroLynx 5096/A2,False,36.369917,-115.370417
393,,,Tule Springs NW RH (Rel. Humidity),,,,
394,,,Tule Springs NW TEMP (Air Temp),,,,
395,,,Las Vegas Wash at Nellis BATT (unknown type),,,,
396,,,Las Vegas Wash at Nellis WL (Water Level),,,,
397,4004.0,Las Vegas Wash at Nellis,Las Vegas Wash at Nellis RAIN (Rain),Campbell Scientific AL200/A2,False,36.155028,-115.061694
398,,,Floyd Lamb North EEA BATT (unknown type),,,,
399,,,Floyd Lamb North EEA WL (Water Level),,,,
400,4009.0,Floyd Lamb North EEA,Floyd Lamb North EEA RAIN (Rain),DAA H264,False,36.321556,-115.257639
